accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,price_category
4,1,3,1,1,1,"52,36","4,87",4,"3,00","2,80",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"4,00","3,45",0,1,0,0,Medium
4,1,2,1,1,1,"52,39","4,88",5,"7,00","1,65",0,1,0,0,Medium
4,1,2,1,1,1,"52,35","4,90",2,"3,00","2,82",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"12,00","3,55",0,1,0,0,Medium
4,1,2,1,2,1,"52,35","4,90",2,"7,00","2,86",0,1,0,0,Medium
4,1,0,1,4,1,"52,37","4,89",2,"5,00","1,00",0,1,0,0,Medium
4,1,2,1,4,1,"52,39","4,91",1,"8,00","1,27",0,1,0,0,Medium
4,3,3,2,1,2,"52,35","4,90",2,"23,00","3,08",0,1,0,0,Medium
4,1,3,1,1,1,"52,36","4,86",4,"4,00","3,41",0,1,0,0,Medium
4,1,2,1,4,1,"52,38","4,87",1,"0,00","1,72",0,1,0,0,Medium
4,1,2,2,1,2,"52,35","4,78",1,"1,00","8,64",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",1,"17,00","3,06",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,93",2,"9,00","3,36",0,1,0,0,Medium
2,1,1,1,2,1,"52,35","4,89",3,"7,00","3,30",0,1,0,0,Medium
4,1,2,1,2,1,"52,37","4,92",4,"14,00","1,91",0,1,0,0,Medium
4,1,2,9,2,10,"52,37","4,89",3,"26,00","1,78",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,87",3,"14,00","2,46",0,1,0,0,Medium
5,1,2,1,1,1,"52,38","4,91",2,"2,00","0,65",0,1,0,0,Medium
3,1,1,2,2,3,"52,38","4,90",2,"1,00","0,26",0,1,0,0,Medium
3,1,2,1,1,1,"52,38","4,88",3,"0,00","1,16",0,1,0,0,Medium
2,1,1,4,1,5,"52,35","4,87",4,"5,00","3,35",0,0,1,0,Medium
2,1,1,1,1,3,"52,38","4,88",3,"7,00","1,55",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"1,00","3,46",0,1,0,0,Medium
3,1,2,1,1,1,"52,36","4,87",2,"10,00","2,71",1,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,91",2,"36,00","1,73",0,0,1,0,Medium
4,2,2,1,2,1,"52,37","4,91",3,"37,00","1,03",0,1,0,0,Medium
5,1,2,1,4,1,"52,37","4,86",10,"3,00","2,88",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,87",3,"47,00","3,19",1,1,0,0,Medium
4,1,3,1,1,1,"52,38","4,85",4,"2,00","3,16",0,1,0,0,Medium
2,1,1,1,1,0,"52,36","4,92",2,"1,00","2,93",0,1,0,0,Medium
4,1,2,1,2,1,"52,38","4,86",2,"5,00","2,99",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,89",2,"8,00","1,79",0,1,0,0,Medium
3,1,1,1,1,1,"52,37","4,87",21,"0,00","2,20",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,89",2,"8,00","1,26",0,1,0,0,Medium
4,1,2,1,2,1,"52,36","4,86",2,"18,00","3,38",0,1,0,0,Medium
2,1,1,1,2,1,"52,35","4,94",3,"1,00","3,93",0,0,1,0,Medium
4,2,3,2,4,2,"52,36","4,93",2,"5,00","2,89",0,1,0,0,Medium
4,1,1,9,2,11,"52,36","4,90",7,"7,00","2,51",1,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,92",3,"2,00","3,28",0,1,0,0,Medium
2,1,1,1,2,1,"52,37","4,86",2,"4,00","2,76",0,1,0,0,Medium
2,1,1,2,1,3,"52,36","4,88",1,"2,00","2,95",0,0,1,0,Medium
2,1,1,1,1,1,"52,38","4,89",2,"10,00","0,73",0,1,0,0,Medium
4,1,3,1,2,1,"52,36","4,90",3,"10,00","2,64",0,1,0,0,Medium
4,1,2,1,2,1,"52,36","4,88",2,"10,00","2,36",0,1,0,0,Medium
4,1,2,2,2,2,"52,36","4,90",3,"10,00","2,64",0,1,0,0,Medium
4,2,2,25,1,25,"52,36","4,89",2,"6,00","1,74",1,1,0,0,Medium
4,1,1,1,2,1,"52,38","4,87",8,"9,00","1,66",0,1,0,0,Medium
2,1,1,1,2,1,"52,34","4,91",2,"2,00","4,21",0,1,0,0,Medium
2,1,1,2,2,2,"52,37","4,89",4,"40,00","1,41",0,0,1,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"69,00","3,19",1,1,0,0,Medium
4,1,0,1,2,1,"52,35","4,90",1,"0,00","2,95",1,1,0,0,Medium
4,1,1,1,2,1,"52,34","4,91",2,"2,00","4,17",0,1,0,0,Medium
2,2,1,1,1,1,"52,36","4,90",3,"6,00","2,44",0,1,0,0,Medium
3,1,2,2,1,2,"52,38","4,85",3,"0,00","3,30",0,1,0,0,Medium
4,2,2,1,2,1,"52,35","4,90",2,"9,00","2,97",0,1,0,0,Medium
4,1,2,1,3,1,"52,35","4,86",3,"10,00","4,17",0,1,0,0,Medium
4,1,2,2,2,2,"52,37","4,90",1,"331,00","1,37",0,1,0,0,Medium
6,2,3,1,1,1,"52,34","4,78",3,"0,00","9,02",0,1,0,0,Medium
2,1,1,2,1,2,"52,37","4,91",3,"17,00","1,49",0,0,1,0,Medium
4,1,2,1,2,1,"52,37","4,86",2,"10,00","2,82",0,1,0,0,Medium
3,1,2,1,2,1,"52,38","4,88",3,"5,00","1,59",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",4,"0,00","3,10",0,1,0,0,Medium
4,2,1,1,1,1,"52,37","4,87",3,"0,00","2,40",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,91",4,"15,00","2,36",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,86",3,"19,00","2,70",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,94",2,"5,00","3,17",0,1,0,0,Medium
2,1,1,1,1,1,"52,34","4,91",2,"9,00","4,18",0,1,0,0,Medium
5,1,3,1,5,1,"52,34","4,92",3,"1,00","4,41",0,1,0,0,Medium
2,2,0,2,1,3,"52,36","4,89",3,"14,00","2,11",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,86",17,"8,00","2,83",0,1,0,0,Medium
4,1,2,1,2,1,"52,36","4,85",2,"1,00","4,07",0,1,0,0,Medium
5,1,2,2,1,2,"52,37","4,88",4,"0,00","1,67",0,1,0,0,Medium
4,1,1,5,1,5,"52,36","4,89",2,"86,00","2,13",0,1,0,0,Medium
4,1,2,1,3,1,"52,36","4,90",3,"13,00","2,59",0,1,0,0,Medium
4,1,2,4,2,4,"52,37","4,88",7,"8,00","1,89",1,0,1,0,Medium
3,1,1,1,2,1,"52,36","4,86",2,"0,00","3,55",0,1,0,0,Medium
2,1,1,1,1,1,"52,38","4,87",4,"4,00","2,09",0,1,0,0,Medium
2,1,0,1,2,1,"52,37","4,88",2,"60,00","1,44",0,0,1,0,Medium
2,1,1,1,1,1,"52,38","4,85",1,"9,00","3,17",0,0,1,0,Medium
5,2,4,1,1,1,"52,40","4,91",2,"0,00","2,04",0,1,0,0,Highest
6,1,3,1,4,1,"52,42","4,91",7,"2,00","4,66",0,1,0,0,Medium
6,1,2,1,2,1,"52,41","4,91",1,"31,00","3,72",0,1,0,0,Medium
4,2,2,1,2,1,"52,38","4,97",7,"3,00","4,53",0,1,0,0,Medium
2,1,1,1,2,1,"52,38","4,88",3,"205,00","1,69",1,1,0,0,Medium
2,1,1,1,1,1,"52,34","4,91",2,"12,00","4,54",1,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,88",1,"11,00","1,86",0,1,0,0,Medium
4,1,3,10,2,10,"52,36","4,90",3,"4,00","2,34",0,1,0,0,Medium
4,1,1,1,1,1,"52,37","4,90",2,"24,00","1,11",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,92",4,"15,00","2,85",0,1,0,0,Medium
5,1,3,1,1,1,"52,36","4,93",1,"5,00","3,01",0,1,0,0,Medium
6,2,3,1,1,1,"52,36","4,98",1,"0,00","5,97",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,89",2,"11,00","2,07",0,1,0,0,Medium
5,1,3,1,1,1,"52,36","4,99",5,"6,00","6,74",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,91",4,"1,00","2,59",0,1,0,0,Medium
4,1,2,25,1,25,"52,36","4,85",2,"14,00","3,66",1,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,90",3,"13,00","2,67",0,1,0,0,Medium
4,1,1,8,2,16,"52,37","4,89",2,"4,00","0,88",0,0,1,0,Medium
4,1,2,1,2,1,"52,37","4,95",2,"18,00","3,48",0,1,0,0,Medium
4,2,2,1,4,1,"52,37","4,94",2,"29,00","2,80",0,1,0,0,Medium
4,1,0,1,2,1,"52,37","4,83",2,"0,00","4,74",0,1,0,0,Medium
4,1,3,1,2,1,"52,39","4,92",2,"10,00","2,10",0,1,0,0,Medium
3,1,1,1,2,1,"52,36","4,86",4,"4,00","3,78",0,1,0,0,Medium
5,1,2,1,4,1,"52,39","4,94",2,"152,00","3,33",0,0,1,0,Medium
4,1,3,1,1,1,"52,41","4,93",5,"0,00","3,71",0,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,90",5,"5,00","3,06",0,1,0,0,Medium
2,2,1,15,1,15,"52,38","4,90",2,"17,00","0,44",0,0,1,0,Medium
4,1,2,1,2,1,"52,35","4,91",4,"22,00","3,01",0,1,0,0,Medium
4,1,2,2,2,2,"52,37","4,87",3,"6,00","2,21",0,1,0,0,Medium
4,2,2,1,2,1,"52,38","4,88",2,"28,00","1,04",0,1,0,0,Medium
2,1,1,50,1,106,"52,36","4,91",3,"18,00","2,12",0,1,0,0,Medium
2,1,1,1,1,1,"52,38","4,87",3,"7,00","2,06",0,1,0,0,Medium
2,1,1,1,2,1,"52,37","4,88",2,"29,00","1,98",0,1,0,0,Medium
4,1,3,1,4,1,"52,39","4,95",4,"7,00","3,46",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,87",5,"0,00","2,10",0,1,0,0,Medium
4,1,4,1,1,1,"52,35","4,94",4,"7,00","3,99",0,1,0,0,Medium
2,1,1,1,2,1,"52,38","4,84",1,"19,00","3,77",0,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,90",2,"17,00","3,16",0,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,85",3,"26,00","4,71",0,1,0,0,Medium
2,1,0,14,1,16,"52,37","4,90",3,"0,00","1,40",1,1,0,0,Medium
4,1,2,1,1,1,"52,35","4,89",3,"5,00","2,88",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"1,00","3,07",0,1,0,0,Medium
2,1,0,2,2,2,"52,35","4,89",3,"106,00","3,32",1,0,1,0,Medium
3,1,2,1,1,1,"52,39","4,87",2,"3,00","2,32",0,1,0,0,Medium
4,1,1,2,2,2,"52,37","4,89",2,"22,00","1,33",0,1,0,0,Medium
5,1,3,1,1,1,"52,36","4,91",10,"0,00","1,99",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,90",2,"1,00","2,55",0,1,0,0,Medium
16,8,10,3,12,3,"52,40","4,89",1,"6,00","2,28",0,1,0,0,Highest
4,1,3,1,2,1,"52,39","4,94",3,"0,00","3,18",0,1,0,0,Medium
4,2,2,1,4,1,"52,37","4,93",3,"1,00","2,26",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,94",1,"1,00","3,51",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,90",2,"0,00","2,45",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,90",3,"0,00","1,67",0,1,0,0,Medium
2,1,1,1,2,1,"52,36","4,89",2,"7,00","2,12",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,87",2,"4,00","3,10",0,1,0,0,Medium
2,1,1,1,1,2,"52,33","4,87",2,"7,00","5,52",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,87",3,"12,00","2,52",0,1,0,0,Medium
2,1,1,1,1,2,"52,35","4,90",3,"0,00","2,93",0,1,0,0,Medium
3,1,1,1,2,1,"52,35","4,85",1,"40,00","4,47",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,88",2,"8,00","2,57",0,1,0,0,Medium
2,2,1,91,1,103,"52,38","4,89",2,"1,00","0,41",1,1,0,0,Highest
8,2,4,1,6,1,"52,36","4,88",3,"2,00","2,97",0,1,0,0,Highest
4,2,2,91,1,103,"52,38","4,87",2,"1,00","1,83",1,1,0,0,Highest
5,1,3,1,1,1,"52,37","4,90",1,"29,00","0,69",0,1,0,0,Highest
4,1,3,1,1,1,"52,37","4,88",3,"1,00","2,26",0,1,0,0,Highest
4,2,4,2,8,3,"52,36","4,88",3,"0,00","3,02",1,1,0,0,Highest
8,3,5,28,4,36,"52,36","4,86",2,"0,00","3,47",0,1,0,0,Highest
6,3,5,1,1,1,"52,36","4,87",2,"5,00","3,25",1,1,0,0,Highest
4,2,3,3,6,3,"52,35","4,90",7,"7,00","2,90",0,1,0,0,Highest
8,1,3,1,1,1,"52,36","4,90",1,"1,00","2,35",0,1,0,0,Highest
4,3,3,1,4,1,"52,36","4,89",2,"13,00","2,09",1,1,0,0,Highest
6,2,3,1,2,1,"52,39","4,88",2,"18,00","1,36",0,1,0,0,Highest
6,1,3,1,1,1,"52,36","4,89",2,"19,00","2,07",0,1,0,0,Highest
6,2,3,1,6,1,"52,38","4,89",7,"276,00","0,62",0,1,0,0,Highest
4,2,2,1,4,1,"52,38","4,89",1,"7,00","0,79",0,1,0,0,Highest
7,1,4,8,6,8,"52,37","4,90",3,"2,00","0,53",0,1,0,0,Highest
4,1,1,91,1,103,"52,37","4,88",2,"0,00","1,90",1,1,0,0,Highest
5,2,3,1,1,1,"52,36","4,91",2,"9,00","1,97",0,1,0,0,Highest
4,1,2,91,1,103,"52,37","4,90",2,"0,00","0,75",1,1,0,0,Highest
3,2,1,91,1,103,"52,36","4,89",2,"1,00","2,65",1,1,0,0,Highest
16,2,8,1,12,1,"52,38","4,91",2,"15,00","0,68",0,1,0,0,Highest
4,1,4,2,6,2,"52,39","4,94",3,"25,00","3,00",0,1,0,0,Highest
4,1,2,1,1,1,"52,36","4,94",1,"0,00","3,81",0,1,0,0,Highest
5,1,2,1,1,1,"52,34","4,80",4,"1,00","8,05",0,1,0,0,Highest
4,3,3,1,3,1,"52,36","4,90",3,"14,00","1,90",0,1,0,0,Highest
4,2,4,2,1,3,"52,36","4,89",7,"4,00","2,10",0,1,0,0,Highest
4,1,2,91,1,103,"52,37","4,88",2,"0,00","1,40",1,1,0,0,Highest
7,1,2,3,1,3,"52,32","4,97",2,"0,00","8,13",1,1,0,0,Highest
5,2,2,1,1,1,"52,37","4,88",5,"2,00","1,45",0,1,0,0,Highest
4,1,1,2,4,2,"52,36","4,90",2,"10,00","1,84",0,1,0,0,Highest
6,2,3,1,4,1,"52,37","4,90",2,"47,00","1,35",0,1,0,0,Highest
5,1,3,1,1,1,"52,35","4,87",2,"5,00","3,50",0,1,0,0,Highest
4,1,2,2,2,2,"52,36","4,87",3,"15,00","2,92",0,0,1,0,Highest
2,1,1,2,1,2,"52,38","4,86",3,"149,00","2,90",0,0,1,0,Low
2,0,1,1,1,1,"52,36","4,95",1,"87,00","3,98",0,0,1,0,Low
2,1,1,1,1,1,"52,37","4,86",2,"1,00","3,15",1,0,1,0,Low
2,1,1,1,1,1,"52,36","4,87",1,"1,00","2,95",0,1,0,0,Low
2,1,1,1,1,1,"52,35","5,01",6,"6,00","8,18",0,0,1,0,Low
1,1,1,1,1,1,"52,36","4,94",2,"59,00","2,95",0,0,1,0,Low
2,1,1,1,2,1,"52,39","4,91",14,"18,00","1,48",0,1,0,0,Low
6,1,4,1,7,1,"52,35","4,87",2,"7,00","3,78",0,1,0,0,Highest
2,1,0,2,1,2,"52,36","4,90",3,"109,00","2,63",1,0,1,0,Medium
2,1,1,4,1,4,"52,38","4,90",1,"0,00","0,28",0,0,1,0,Medium
2,1,1,1,1,1,"52,37","4,89",2,"9,00","0,85",1,0,1,0,Medium
2,1,1,50,1,106,"52,38","4,87",2,"3,00","1,83",0,1,0,0,Medium
4,1,2,1,1,1,"52,35","4,89",2,"26,00","2,98",1,1,0,0,Medium
4,1,1,2,2,2,"52,38","4,88",2,"9,00","1,19",0,1,0,0,Medium
4,2,2,2,2,4,"52,37","4,88",3,"55,00","1,51",0,1,0,0,Medium
3,1,1,1,1,1,"52,38","4,92",4,"0,00","1,72",0,1,0,0,Medium
4,1,1,9,2,9,"52,36","4,90",7,"11,00","1,61",0,0,1,0,Medium
3,1,1,1,2,1,"52,40","4,88",2,"132,00","2,26",1,0,1,0,Medium
5,2,2,1,4,1,"52,37","4,94",2,"1,00","3,22",0,1,0,0,Medium
5,2,3,1,5,1,"52,33","4,87",2,"6,00","5,54",0,1,0,0,Medium
5,2,3,2,1,2,"52,31","4,96",2,"0,00","8,83",1,0,1,0,Medium
2,2,1,1,2,1,"52,36","4,90",3,"45,00","2,26",0,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,85",3,"9,00","4,41",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",2,"12,00","3,06",1,1,0,0,Medium
4,1,2,1,1,1,"52,40","4,95",2,"0,00","3,65",0,1,0,0,Medium
4,1,1,1,2,1,"52,36","4,94",2,"6,00","3,29",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,88",2,"1,00","1,65",0,1,0,0,Medium
3,1,1,1,2,1,"52,36","4,86",3,"25,00","3,17",0,1,0,0,Medium
4,2,4,1,2,1,"52,36","4,87",2,"1,00","2,86",0,1,0,0,Medium
3,2,1,1,1,1,"52,38","4,88",2,"10,00","1,63",0,1,0,0,Medium
2,2,1,1,1,1,"52,34","4,91",3,"14,00","3,89",0,1,0,0,Medium
3,1,1,1,2,1,"52,36","4,93",2,"8,00","2,99",0,1,0,0,Medium
2,2,1,1,1,1,"52,38","4,88",1,"29,00","1,22",0,1,0,0,Medium
2,1,1,1,1,1,"52,38","4,88",5,"9,00","1,16",0,1,0,0,Medium
2,1,1,1,2,1,"52,37","4,93",2,"6,00","2,31",0,1,0,0,Medium
4,1,2,1,1,1,"52,36","4,87",3,"13,00","3,08",0,1,0,0,Medium
2,1,1,1,2,1,"52,34","4,90",1,"33,00","4,25",0,1,0,0,Medium
2,1,1,1,1,1,"52,38","4,87",2,"4,00","1,79",0,1,0,0,Medium
4,2,3,1,4,1,"52,37","4,93",1,"17,00","2,29",0,1,0,0,Medium
2,1,1,1,1,1,"52,36","4,86",3,"0,00","3,44",0,1,0,0,Medium
4,1,1,1,2,1,"52,34","4,90",1,"20,00","3,99",0,1,0,0,Medium
2,2,1,1,1,1,"52,37","4,85",1,"11,00","3,22",0,1,0,0,Medium
4,1,2,1,4,1,"52,35","4,90",1,"8,00","3,52",1,1,0,0,Medium
4,1,1,1,1,1,"52,38","4,86",2,"4,00","2,93",0,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,90",60,"34,00","2,95",0,1,0,0,Medium
2,1,1,3,1,3,"52,37","4,90",3,"39,00","1,27",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,88",2,"12,00","1,93",0,1,0,0,Medium
2,1,1,1,1,1,"52,35","4,89",2,"6,00","3,16",0,1,0,0,Medium
3,2,2,1,1,1,"52,37","4,89",3,"2,00","1,23",1,1,0,0,Highest
4,2,2,2,1,2,"52,35","4,94",3,"1,00","3,76",0,1,0,0,Medium
2,1,1,1,1,1,"52,37","4,87",2,"3,00","2,61",0,0,1,0,Medium
2,1,1,1,1,1,"52,37","4,85",2,"0,00","3,58",0,1,0,0,Medium
16,2,10,2,16,2,"52,37","4,92",2,"54,00","1,75",0,1,0,0,Mid-High
6,1,4,1,5,2,"52,35","4,88",4,"8,00","3,18",0,1,0,0,Highest
5,2,4,2,5,2,"52,36","5,00",2,"0,00","7,38",0,1,0,0,Mid-High
4,2,3,1,3,1,"52,36","4,88",2,"61,00","2,86",0,1,0,0,Mid-High
6,2,2,25,4,27,"52,38","4,88",2,"17,00","1,41",1,1,0,0,Mid-High
4,1,2,1,1,1,"52,39","4,89",2,"11,00","1,43",0,1,0,0,Mid-High
4,2,3,1,1,1,"52,38","4,88",7,"0,00","1,14",1,1,0,0,Mid-High
4,2,2,1,1,1,"52,36","4,89",5,"0,00","2,28",1,1,0,0,Mid-High
7,2,3,1,1,1,"52,36","4,93",10,"0,00","2,45",0,1,0,0,Mid-High
4,2,2,1,1,1,"52,36","4,88",6,"0,00","2,59",0,1,0,0,Mid-High
2,2,1,3,2,3,"52,37","4,88",3,"11,00","1,80",0,0,1,0,Mid-High
2,1,1,1,2,1,"52,37","4,95",2,"12,00","3,40",0,1,0,0,Mid-High
3,1,2,1,3,2,"52,36","4,88",4,"1,00","2,73",0,1,0,0,Mid-High
2,1,0,3,1,3,"52,37","4,88",1,"3,00","1,66",0,1,0,0,Mid-High
4,2,2,1,1,1,"52,36","4,87",2,"1,00","2,58",0,1,0,0,Mid-High
3,2,2,1,1,1,"52,35","4,80",4,"2,00","7,39",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,92",3,"2,00","2,02",0,1,0,0,Low
2,1,1,1,1,1,"52,35","4,90",2,"40,00","3,77",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,93",1,"1,00","2,91",0,1,0,0,Low
4,1,1,1,2,1,"52,38","4,86",2,"24,00","2,80",0,1,0,0,Low
2,1,1,1,1,1,"52,37","4,89",3,"1,00","1,42",0,1,0,0,Low
3,1,1,4,2,4,"52,38","4,89",3,"16,00","0,58",1,0,1,0,Low
5,1,3,1,2,1,"52,36","4,88",2,"19,00","2,99",0,1,0,0,Mid-High
4,1,2,1,2,1,"52,35","4,85",2,"2,00","4,77",0,1,0,0,Low
6,1,3,1,2,1,"52,34","4,85",1,"4,00","5,36",0,1,0,0,Highest
4,2,1,1,2,1,"52,39","4,93",2,"19,00","2,27",1,1,0,0,Low
1,1,1,1,1,1,"52,37","4,85",2,"20,00","3,62",0,0,1,0,Low
2,1,1,1,1,1,"52,35","4,85",4,"0,00","4,79",0,1,0,0,Low
2,1,1,1,1,1,"52,36","4,86",2,"1,00","3,55",0,1,0,0,Low
6,1,4,1,1,1,"52,36","4,87",5,"0,00","2,53",0,1,0,0,Highest
4,1,2,2,3,2,"52,35","4,89",2,"11,00","3,73",0,1,0,0,Mid-High
2,1,1,1,1,1,"52,37","4,85",3,"0,00","3,45",0,1,0,0,Low
2,1,1,1,2,1,"52,36","4,93",1,"4,00","3,04",0,1,0,0,Low
2,1,1,1,1,1,"52,41","4,92",1,"18,00","3,39",0,0,1,0,Low
2,1,1,1,1,1,"52,38","4,85",2,"20,00","3,05",0,1,0,0,Low
4,2,2,1,2,1,"52,36","4,86",1,"0,00","3,68",1,1,0,0,Medium
3,2,1,1,2,1,"52,36","4,91",2,"9,00","2,67",0,1,0,0,Medium
2,1,1,1,1,1,"52,38","4,89",3,"0,00","0,84",0,1,0,0,Medium
2,1,1,1,1,1,"52,39","4,89",2,"41,00","1,10",0,0,1,0,Medium
2,1,1,1,1,1,"52,38","4,86",3,"8,00","2,60",0,1,0,0,Low
4,1,2,1,2,1,"52,36","4,98",3,"0,00","5,95",0,1,0,0,Medium
4,2,2,1,1,1,"52,36","4,93",2,"8,00","3,28",0,1,0,0,Medium